,Year,Temperature,Anomaly,SmoothSignal,ScipySmoothSignal
65,1960,70.3,0.2,69.94,69.91904761904762
66,1961,70.0,-0.1,69.98,69.92380952380952
67,1962,69.8,-0.3,69.86000000000001,69.94761904761904
68,1963,69.2,-0.9,69.84,69.94761904761904
69,1964,70.0,-0.1,69.64,69.95238095238093
70,1965,70.2,0.1,69.72000000000001,70.00476190476189
71,1966,69.0,-1.1,69.6,69.94761904761904
72,1967,70.2,0.1,69.4,69.92380952380951
73,1968,68.6,-1.5,69.24000000000001,69.86190476190475
74,1969,69.0,-1.1,69.52000000000001,69.90476190476188
75,1970,69.4,-0.7,69.66000000000001,69.87142857142855
76,1971,70.4,0.3,70.0,69.8238095238095
77,1972,70.9,0.8,70.38000000000001,69.89523809523808
78,1973,70.3,0.2,70.74000000000001,69.87142857142855
79,1974,70.9,0.8,70.46000000000001,69.90952380952379
80,1975,71.2,1.1,70.16,69.94761904761903
81,1976,69.0,-1.1,70.04,70.0095238095238
82,1977,69.4,-0.7,69.84,70.06666666666666
83,1978,69.7,-0.4,69.58000000000001,70.04285714285714
84,1979,69.9,-0.2,69.64000000000001,70.15714285714286
85,1980,69.9,-0.2,70.06,70.32380952380952
86,1981,69.3,-0.8,69.98,70.43809523809523
87,1982,71.5,1.4,70.0,70.43333333333332
88,1983,69.3,-0.8,70.17999999999999,70.4047619047619
89,1984,70.0,-0.1,70.61999999999999,70.46666666666665
90,1985,70.8,0.7,70.36,70.46190476190475
91,1986,71.5,1.4,70.44,70.39999999999999
92,1987,70.2,0.1,70.64,70.49999999999999
93,1988,69.7,-0.4,70.98,70.64761904761903
94,1989,71.0,0.9,71.04,70.71904761904761
95,1990,72.5,2.4,71.06,70.75238095238095
96,1991,71.8,1.7,71.18,70.8
97,1992,70.3,0.2,71.30000000000001,70.8952380952381
98,1993,70.3,0.2,70.96000000000001,70.86666666666666
99,1994,71.6,1.5,70.58,70.93809523809523
100,1995,70.8,0.7,70.74000000000001,70.97619047619045
101,1996,69.9,-0.2,71.18,71.00476190476189
102,1997,71.1,1.0,71.1,71.01904761904761
103,1998,72.5,2.4,71.06,71.04761904761904
104,1999,71.2,1.1,71.26,71.1190476190476
105,2000,70.6,0.5,71.3,71.03333333333332
106,2001,70.9,0.8,70.98,70.99523809523808
107,2002,71.3,1.2,70.9,70.99999999999999
108,2003,70.9,0.8,70.94,71.06666666666666
109,2004,70.8,0.7,71.04,71.08095238095238
110,2005,70.8,0.7,71.14,71.16666666666667
111,2006,71.4,1.3,71.12,71.24761904761904
112,2007,71.8,1.7,71.19999999999999,71.38095238095238
113,2008,70.8,0.7,70.88,71.45714285714286
114,2009,71.2,1.1,70.94000000000001,71.46666666666665
115,2010,69.2,-0.9,70.96000000000001,71.53809523809522
116,2011,71.7,1.6,71.14000000000001,71.63809523809522
117,2012,71.9,1.8,71.02000000000001,71.7238095238095
118,2013,71.7,1.6,71.86000000000001,71.79047619047617
119,2014,70.6,0.5,72.02000000000001,71.87619047619046
120,2015,73.4,3.3,72.18,71.96666666666667
121,2016,72.5,2.4,57.84,72.05714285714285
122,2017,72.7,2.6,43.72,72.11904761904762
